,Time,Sentiment,Price
234,20170324,0.338086784,901
235,20170323,0.022118593,1048.8
236,20170322,0.297613441,1032
237,20170321,0.14764289,1089.9
238,20170320,0.25813452,1047
239,20170319,0.334261977,1022.4
240,20170318,0.1796407,964.4
241,20170317,0.385721628,1058.1
242,20170316,0.16859618,1123.1
243,20170315,0.343174671,1245.4
244,20170314,0.202298823,1249.5
245,20170313,0.094482561,1241.4
246,20170312,0.189847187,1233.6
247,20170311,0.302239705,1189.4
248,20170310,0.29362941,1196.8
249,20170309,0.373374171,1192.5
250,20170308,0.250240962,1173.4
251,20170307,0.394101861,1188
252,20170306,0.35426351,1278.5
253,20170305,0.278972741,1281.7
254,20170304,0.331406186,1252.1
255,20170303,0.31648061,1293.1
256,20170302,0.288783925,1271.5
257,20170301,0.40588685,1227.4
258,20170228,0.283410453,1202.7
259,20170227,0.336731464,1192.6
260,20170226,0.224063793,1184.1
261,20170225,0.300710734,1159.9
262,20170224,0.309975748,1184.9
263,20170223,0.321297431,1199.9
264,20170222,0.342758759,1132.2
265,20170221,0.301954749,1114.2
266,20170220,0.180401339,1093.5
267,20170219,0.313271134,1060.4
268,20170218,0.272347548,1066.4
269,20170217,0.380115765,1069.5
270,20170216,0.242710484,1039.9
271,20170215,0.224445122,1024.1
272,20170214,0.392423764,1009.4
273,20170213,0.440453073,1005.3
274,20170212,0.288460604,1009
275,20170211,0.363342987,1012.5
276,20170210,0.318254899,1012.5
277,20170209,0.308142014,985.3
278,20170208,0.336379687,1055.4
279,20170207,0.246464175,1067.9
280,20170206,0.285480487,1047.3
281,20170205,0.376505871,1019.8
282,20170204,0.338077687,1030.1
283,20170203,0,1014.4
284,20170202,0,1015.7
285,20170201,0.398275948,988.9
286,20170131,0.071553343,977.9
287,20170130,0.221330419,934.9
288,20170129,0.287678027,919.1
289,20170128,0.380029481,923.7
290,20170127,0.288970847,924
291,20170126,0.39624663,920.7
292,20170125,0.248278462,901.3
293,20170124,0.185833392,894.1
294,20170123,0.346501538,917.9
295,20170122,0.465047132,924.5
296,20170121,0.454919287,939.7
297,20170120,0.298166364,920.4
298,20170119,0.226915155,898.4
299,20170118,0.443057543,887.9
300,20170117,0.304754994,904.7
301,20170116,0.345361574,892.1
302,20170115,0.297025519,836.5
303,20170114,0.303800385,824
304,20170113,0.258184004,829.9
305,20170112,0.393019093,788.6
306,20170111,0.278002547,758.1
307,20170110,0.398703202,915.8
308,20170109,0.43120884,904
309,20170108,0.321307833,891.6
310,20170107,0.304887399,942.2
311,20170106,0.469197731,846.2
312,20170105,0.469197731,1001.6
313,20170104,0.469197731,1169.7
314,20170103,0.379696481,1064.9
315,20170102,0.379696481,1018.8
316,20170101,0.379696481,997.9
317,20161231,0.357593483,964
318,20161230,0.357593483,958.7
319,20161229,0.357593483,972.1
320,20161228,0.357593483,982.1
321,20161227,0.399872232,948.9
322,20161226,0.399872232,896.8
